p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
3.1757247005072196e-6,-0.2908348051815315,0.293,0.434,0.08859954341945092,MCM4
3.2310867658759896e-6,-0.6469524238722861,0.144,0.237,0.09014408968117424,MCMBP
3.2602140494727183e-6,-0.6209584131904651,0.123,0.212,0.09095671176623937,NCOA7
3.2952787884701653e-6,-0.414713534150938,0.291,0.423,0.09193498291952915,JTB
3.297312353929531e-6,-0.3725415829226144,0.133,0.231,0.09199171736227998,SRSF9
3.299423027368491e-6,-1.40177934504141,0.032,0.083,0.09205060304055353,SDC3
3.3407477513256665e-6,-0.9432359902245737,0.06,0.127,0.09320352151423478,UCP2
3.363635233984707e-6,-1.6705986930685337,0.014,0.053,0.09384205939293934,SLC27A5
3.459825040516438e-6,-0.965355993039327,0.047,0.107,0.0965256588053681,RWDD3
3.4736257605399453e-6,-1.5823926677982718,0.025,0.072,0.09691068509330393,SLC39A3
3.507647051543302e-6,2.7434747807881745,0.054,0.01,0.09785984509100658,FDXR
3.522104721562138e-6,1.775873640292012,0.113,0.048,0.09826319962686209,KMT2E-AS1
3.5286399961515535e-6,-1.618201799536997,0.008,0.042,0.09844552725263218,GPM6B
3.5667981865338746e-6,-0.34437435864304533,0.259,0.391,0.09951010260610857,GAPT
3.6002202439539257e-6,-0.6213703788398393,0.102,0.184,0.10044254458607058,ITPR2
